docID,position,term,label_x,term_before_x,term_after_x,inPrefixSuffix,tf,idf,isCapitalized,hasDescriptivePrefix,hasDescriptiveSuffix,hasIngredient
100,25,and,False,twice,neither,0.0,19,0.0010050251256281408,False,0,0,0
100,50,and,False,turnover,service,0.0,19,0.0010050251256281408,False,0,0,0
100,69,and,False,crowded,it,0.0,19,0.0010050251256281408,False,0,0,0
100,78,and,False,seated,the,0.0,19,0.0010050251256281408,False,0,0,0
100,93,and,False,husband,we,0.0,19,0.0010050251256281408,False,0,0,0
100,115,and,False,correctly,waited,0.0,19,0.0010050251256281408,False,0,0,0
100,122,and,False,pay,wait,0.0,19,0.0010050251256281408,False,0,0,0
100,133,and,False,coming,going,0.0,19,0.0010050251256281408,False,0,0,0
100,154,and,False,table,told,0.0,19,0.0010050251256281408,False,0,0,0
100,178,and,False,arrive,by,0.0,19,0.0010050251256281408,False,0,0,0
100,191,and,False,eggs,bacon,1.0,19,0.0010050251256281408,False,0,0,0
100,193,and,False,bacon,toast,0.0,19,0.0010050251256281408,False,0,0,0
100,215,and,False,later,said,0.0,19,0.0010050251256281408,False,0,0,0
100,259,and,False,awhile,it,0.0,19,0.0010050251256281408,False,0,0,0
100,299,and,False,Smart,for,0.0,19,0.0010050251256281408,False,0,0,0
100,313,and,False,price,honestly,0.0,19,0.0010050251256281408,False,0,0,0
100,330,and,False,potatoes,they,0.0,19,0.0010050251256281408,False,0,0,0
100,344,and,False,area,really,0.0,19,0.0010050251256281408,False,0,0,0
100,361,and,False,Oh,I,0.0,19,0.0010050251256281408,False,0,0,0
1000,67,and,False,friendly,gave,0.0,1,0.0010050251256281408,False,0,1,0
1001,12,and,False,soup,cant,0.0,7,0.0010050251256281408,False,0,0,0
1001,25,and,False,cave,have,0.0,7,0.0010050251256281408,False,0,0,0
1001,40,and,False,soup,I,0.0,7,0.0010050251256281408,False,0,0,0
1001,64,and,False,chewy,oh,0.0,7,0.0010050251256281408,False,0,0,0
1001,80,and,False,make,tastes,0.0,7,0.0010050251256281408,False,0,0,0
1001,93,and,False,of,he,0.0,7,0.0010050251256281408,False,0,0,0
1001,138,and,False,nicer,comfortable,0.0,7,0.0010050251256281408,False,0,0,0
1002,21,and,False,phenomenal,its,0.0,4,0.0010050251256281408,False,0,0,0
1002,55,and,False,vegetarian,confused,0.0,4,0.0010050251256281408,False,0,0,0
1002,65,and,False,tried,loved,0.0,4,0.0010050251256281408,False,0,0,0
1002,89,and,False,veg,less,0.0,4,0.0010050251256281408,False,0,0,0
1003,7,and,False,day,was,0.0,6,0.0010050251256281408,False,0,0,0
1003,20,and,False,omelette,was,0.0,6,0.0010050251256281408,False,0,0,0
1003,34,and,False,filling,a,0.0,6,0.0010050251256281408,False,0,1,0
1003,74,and,False,coffee,she,0.0,6,0.0010050251256281408,False,0,0,0
1003,79,and,False,sweet,removed,0.0,6,0.0010050251256281408,False,0,0,0
1003,109,and,False,fantastic,the,0.0,6,0.0010050251256281408,False,0,0,0
1005,24,and,False,crispy,yummyThe,0.0,2,0.0010050251256281408,False,0,0,0
1005,36,and,False,bare,the,0.0,2,0.0010050251256281408,False,0,0,0
1006,27,and,False,Tofu,Red,0.0,2,0.0010050251256281408,False,0,0,0
1006,65,and,False,fat,skin,0.0,2,0.0010050251256281408,False,0,0,0
101,5,and,False,solid,the,0.0,1,0.0010050251256281408,False,0,0,0
1011,64,and,False,salty,the,0.0,2,0.0010050251256281408,False,0,0,0
