ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
0,age of myth: book one of the legends of the first empire,Michael J. Sullivan,Del Rey,2017-1-31,Paperback,464.0,4.5
1,rise of the dragons (kings and sorcerers--book 1),Morgan Rice,Morgan Rice,2017-8-4,Hardcover,217.0,4.1
2,the book of deacon (volume 1),Joseph Lallo,CreateSpace Independent Publishing Platform,2012-3-18,Kindle,322.0,4.3
3,a quest of heroes: book #1 in the sorcerer's ring,Morgan Rice,Morgan Rice,2012-12-3,Hardcover,234.0,3.6
4,fantasia: an algerian cavalcade,Dorothy S. Blair,Heinemann,1993-3-15,Kindle,227.0,4.2
5,the fantasy baseball black book 2018 (fantasy black book),Joe Pisapia,Independently published,2018-1-13,Kindle,157.0,4.6
6,fantasy baseball for smart people: how to use math and psychology to win at dfs,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178.0,4.5
7,"final fantasy xv guide: walkthrough, side quests, bounty hunts, food recipes, cheats, secrets and more",Victor Arthur,CreateSpace Independent Publishing Platform,2017-1-9,Paperback,296.0,3.7
8,"power, faith, and fantasy: america in the middle east: 1776 to the present",Michael B. Oren,W. W. Norton &amp,2008-2-17,Paperback,864.0,4.4
9,fantasy flower garden: adult coloring book of fantastic flowers and friendly animals,C L Aldridge,CreateSpace Independent Publishing Platform,2018-3-3,Paperback,102.0,5.0
11,the wolf of the north: wolf of the north book 1 (volume 1),Duncan M Hamilton,CreateSpace Independent Publishing Platform,2016-10-24,Paperback,326.0,4.3
12,fantasy of freedom (the tainted accords) (volume 4),Kelly St Clare,Kelly St. Clare,2016-10-10,Hardcover,284.0,4.9
13,grimgar of fantasy and ash (light novel) vol. 1,Ao Jyumonji,Seven Seas,2017-6-6,Paperback,280.0,4.3
14,"fantasia in d minor, k. 397: sheet (alfred masterwork edition)",Wolfgang Amadeus Mozart,Alfred Music,1987-4-1,Kindle,8.0,4.0
16,grimgar of fantasy and ash (light novel) vol. 3,Ao Jyumonji,Seven Seas,2017-10-10,Kindle,280.0,4.8
17,basic fantasy role-playing game 3rd edition,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Kindle,170.0,4.8
18,thinblade: sovereign of the seven isles: book one,David A. Wells,CreateSpace Independent Publishing Platform,2011-6-10,Hardcover,326.0,4.3
19,empire of storms (throne of glass),Sarah J. Maas,Bloomsbury USA Childrens,2017-9-5,Paperback,720.0,4.7
20,grimgar of fantasy and ash (light novel) vol. 6,Ao Jyumonji,Seven Seas,2018-5-15,Kindle,280.0,4.1
22,final fantasy x official strategy guide (brady games signature series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272.0,4.4
23,how to draw and paint fantasy architecture: from ancient citadels and gothic castles to subterranean palaces and floating fortresses,Rob Alexander,Barron's Educational Series,2010-11-1,Paperback,128.0,4.2
25,how to draw fantasy art and rpg maps: step by step cartography for gamers and fans,Jared Blando,IMPACT Books,2015-9-1,Hardcover,128.0,4.6
26,fantasy of flight (the tainted accords) (volume 2),Kelly St. Clare,Kelly St. Clare,2017-3-14,Kindle,274.0,4.7
27,a child's work: the importance of fantasy play,Vivian Gussin Paley,University of Chicago Press,2005-5-27,Paperback,111.0,4.6
28,fantasy baseball for smart people: how to profit big during mlb season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196.0,4.6
30,fighting fantasy: forest of doom,Ian Livingstone,Scholastic,2017-9-7,Kindle,232.0,4.8
31,final fantasy v (boss fight books),Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.9
32,the golden ass (penguin classics),Apuleius,Penguin Classics,1999-1-1,Hardcover,304.0,4.3
33,arcane (the arinthian line) (volume 1),Sever Bronny,Sever Bronny Ltd.,2014-11-26,Hardcover,366.0,4.5
34,fantasy of frost (the tainted accords) (volume 1),Kelly St. Clare,Kelly St. Clare,2017-3-14,Hardcover,264.0,4.5
37,the ballad of titha mae: a fantasy in twelve parts,Jon B. Dalvy,Independently published,2018-1-15,Paperback,343.0,4.9
38,the rage of dragons,Evan Winter,Beautiful Beast,2017-9-7,Kindle,438.0,4.7
39,"final fantasy x-2, official strategy guide",Dan Birlew,BRADY GAMES,2003-11-13,Kindle,352.0,4.3
40,"the marechal chronicles: volumes i, ii and iii: an erotic fantasy tale (volume 1)",Aim\u00e9lie Aames,CreateSpace Independent Publishing Platform,2014-5-20,Paperback,278.0,3.3
41,the best american science fiction and fantasy 2017 (the best american series ®),John Joseph Adams,Mariner Books,2017-10-3,Paperback,384.0,3.2
42,gothic - dark fantasy coloring book (fantasy art coloring by selina) (volume 6),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-3-23,Hardcover,108.0,4.7
43,"fantasy life: the outrageous, uplifting, and heartbreaking world of fantasy sports from the guy who's lived it",Matthew Berry,Riverhead Books,2014-7-1,Paperback,384.0,4.6
44,the best american science fiction and fantasy 2015 (the best american series ®),John Joseph Adams,Mariner Books,2015-10-6,Paperback,368.0,4.0
45,color your fantasy ii coloring book,Amy Brown,CreateSpace Independent Publishing Platform,2015-7-27,Paperback,40.0,4.7
46,arousal: the secret logic of sexual fantasies,Michael J. Bader,St. Martin's Griffin,2003-1-18,Kindle,304.0,4.1
47,sci-fi & fantasy oil painting techniques,Patrick J. Jones,Korero Press,,Paperback,192.0,4.6
48,reign: a space fantasy romance (strands of starfire) (volume 1),May Sage,Madam's Books,2018-3-1,Paperback,376.0,4.8
49,color my art: surreal fantasy: grayscale & underpainting coloring book,Ikuko,CreateSpace Independent Publishing Platform,2017-7-19,Hardcover,104.0,4.3
50,colouring fantasy 2 - colouring book by scot howden (volume 2),Scot Howden,CreateSpace Independent Publishing Platform,2016-10-20,Paperback,54.0,4.6
51,fantasia mathematica,Clifton Fadiman,Copernicus,1997-4-1,Kindle,298.0,4.8
52,make a witch (a wicked witches of the midwest fantasy) (volume 3),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,194.0,4.6
53,the shock of night (the darkwater saga),Patrick W. Carr,Bethany House Publishers,2015-11-3,Hardcover,464.0,4.4
54,medieval madness: a fantasy adventure book for kids and teens aged 9-15 (volume 1),Paul Johnson-Jovanovic,CreateSpace Independent Publishing Platform,2017-11-19,Hardcover,142.0,5.0
55,storyworld first: creating a unique fantasy world for your novel,Jill Williamson,Novel Teen Press,2014-8-13,Paperback,176.0,4.3
56,the best american science fiction and fantasy 2016 (the best american series ®),John Joseph Adams,Mariner Books,2016-10-4,Kindle,320.0,3.4
57,the basic fantasy field guide,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Paperback,86.0,4.7
58,the girl from everywhere,Heidi Heilig,Greenwillow Books,2017-2-7,Hardcover,480.0,4.3
59,"billy joel - fantasies & delusions: music for solo piano, op. 1-10",Billy Joel,Hal Leonard,2001-10-1,Hardcover,96.0,4.4
