doc_id,index_in_doc,term,is_food
9,0,not,False
9,4,sure,False
9,9,what,False
9,14,the,False
9,18,hype,False
9,23,is,False
9,26,but,False
9,30,decided,False
9,38,to,False
9,41,give,False
9,46,this,False
9,11,a,False
9,53,try,False
9,57,based,False
9,63,on,False
9,66,all,False
9,70,the,False
9,74,reviews,False
9,82,maybe,False
9,88,it,False
9,91,was,False
9,95,too,False
9,99,hyped,False
9,105,up,False
9,108,but,False
9,112,it,False
9,115,wasnt,False
9,58,as,False
9,124,amazing,False
9,92,as,False
9,23,i,False
9,137,thought,False
9,145,it,False
9,148,would,False
9,85,be,False
9,158,maybe,False
9,164,it,False
9,115,was,False
9,171,what,False
9,176,we,False
9,179,had,False
9,183,ordered,False
9,191,but,False
9,195,it,False
9,167,was,False
9,202,just,False
9,207,ok,False
9,211,we,False
9,214,had,False
9,218,ordered,False
9,226,the,False
9,231,kimchi,False
9,238,fries,False
9,246,which,False
9,198,was,False
9,256,kind,False
9,261,of,False
9,264,like,False
9,51,a,False
9,272,ny,False
9,275,fries,False
9,283,the,False
9,287,works,False
9,294,the,False
9,298,grilled,False
9,308,pork,False
9,313,banh,False
9,318,mi,False
9,252,was,False
9,329,ok,False
9,333,will,False
9,154,be,False
9,341,back,False
9,95,to,False
9,349,try,False
9,353,other,False
9,359,stuff,False
9,365,like,False
9,354,the,False
9,374,bao,True
9,378,version,False
9,386,and,False
9,370,the,False
9,395,pork,False
9,400,belly,False
5,0,this,False
5,5,place,False
5,2,is,False
5,14,awesome,False
5,22,definitely,False
5,33,authenticmy,False
5,45,two,False
5,49,favourite,False
5,59,dishes,False
5,66,are,False
5,35,the,False
5,75,rice,False
5,80,flour,False
5,86,rolls,False
5,94,and,False
5,70,the,False
5,103,chicken,False
5,111,pho,False
5,98,the,False
5,123,rice,False
5,128,flour,False
5,134,rolls,False
5,142,are,False
5,146,always,False
5,153,fresh,False
5,159,whenever,False
5,168,im,False
5,171,there,False
5,177,and,False
5,118,the,False
5,186,chicken,False
5,194,pho,False
5,11,is,False
5,203,always,False
5,210,flavourful,False
5,221,mmmm,False
5,229,just,False
5,234,thinking,False
5,243,of,False
5,27,it,False
5,249,makes,False
5,19,me,False
5,258,want,False
5,263,somemy,False
5,270,boyfriend,False
5,60,is,False
5,283,vietnamese,False
5,294,and,False
5,36,he,False
5,301,agrees,False
5,308,that,False
5,313,this,False
5,318,place,False
5,200,is,False
5,33,authentic,False
5,337,and,False
5,341,one,False
5,345,of,False
5,171,the,False
5,352,best,False
5,357,vietnamese,False
5,368,restaurants,False
5,62,he,False
5,383,has,False
5,163,ever,False
5,392,eaten,False
5,310,at,False
5,401,prices,False
5,408,are,False
5,412,very,False
5,417,reasonable,False
5,428,too,False
4,0,wanted,False
4,7,to,False
4,10,check,False
4,16,out,False
4,20,this,False
4,25,place,False
4,31,due,False
4,35,to,False
4,38,all,False
4,42,the,False
4,46,hype,False
4,22,i,False
4,53,had,False
4,57,heard,False
4,64,my,False
4,67,friend,False
4,74,wanted,False
4,81,to,False
4,84,come,False
4,89,here,False
4,94,for,False
4,89,her,False
4,102,birthday,False
4,112,we,False
4,115,had,False
4,1,a,False
4,121,group,False
4,127,of,False
4,130,seven,False
4,136,and,False
4,140,based,False
4,146,on,False
4,149,the,False
4,153,way,False
4,157,the,False
4,161,seating,False
4,169,works,False
4,141,as,False
4,178,it,False
4,22,is,False
4,184,communal,False
4,193,we,False
4,196,wind,False
4,124,up,False
4,204,sharing,False
4,212,with,False
4,217,another,False
4,225,group,False
4,231,of,False
4,234,five,False
4,240,food,False
4,245,was,False
4,249,ok,False
4,218,not,False
4,257,sure,False
4,262,what,False
4,220,the,False
4,271,hype,False
4,276,was,False
4,281,almost,False
4,289,of,False
4,267,the,False
4,296,dishes,False
4,303,had,False
4,307,some,False
4,312,sort,False
4,317,of,False
4,320,cheese,True
4,165,in,False
4,213,it,False
4,333,this,False
4,338,place,False
4,181,is,False
4,347,very,False
4,352,loud,False
4,307,so,False
4,253,not,False
4,364,ideal,False
4,370,for,False
4,374,catching,False
4,201,up,False
4,386,talking,False
4,360,not,False
4,27,a,False
4,401,great,False
4,407,place,False
4,413,to,False
4,416,go,False
4,419,if,False
4,422,you,False
4,426,have,False
4,431,any,False
4,435,gluten,False
4,95,or,False
4,445,vegan,False
4,451,restrictions,False
4,464,interesting,False
4,476,concept,False
4,485,would,False
4,491,definitely,False
4,502,recommend,False
4,512,to,False
4,515,try,False
4,519,this,False
4,524,place,False
4,477,once,False
4,536,but,False
4,540,definitely,False
4,395,not,False
4,555,worth,False
4,292,the,False
4,567,mins,False
4,572,wait,False
8,0,omg,False
8,5,definitely,False
8,16,worth,False
8,22,going,False
8,28,if,False
8,31,you,False
8,35,are,False
8,8,in,False
8,42,montrealand,False
8,54,remember,False
8,63,to,False
8,66,eat,False
8,10,it,False
8,73,fresh,False
8,70,it,False
8,83,is,False
8,86,amazing,False
8,94,paired,False
8,101,with,False
8,50,an,False
8,109,organic,False
8,119,cream,False
8,125,cheese,False
8,137,mmmm,False
6,0,a,False
6,2,must,False
6,7,stop,False
6,12,when,False
6,17,you,False
6,21,are,False
6,25,in,False
6,28,montreali,False
6,38,was,False
6,42,in,False
6,45,mtl,False
6,49,for,False
6,53,the,False
6,57,weekend,False
6,65,and,False
6,69,wind,False
6,74,up,False
6,77,eating,False
6,84,here,False
6,90,nights,False
6,70,in,False
6,21,a,False
6,102,rowthe,False
6,109,sandwiches,True
6,120,here,False
6,125,are,False
6,129,unbelieveable,False
6,105,the,False
6,147,smoked,False
6,154,meat,True
6,159,is,False
6,162,so,False
6,165,tasty,False
6,110,and,False
6,175,salty,False
6,181,but,False
6,185,so,False
6,188,good,False
6,143,the,False
6,198,bread,True
6,204,definitely,False
6,215,complements,False
6,194,the,False
6,231,meatnot,False
6,239,much,False
6,244,of,False
6,34,a,False
6,249,line,False
6,254,up,False
6,257,if,False
6,260,you,False
6,264,come,False
6,269,either,False
6,276,later,False
6,80,in,False
6,227,the,False
6,289,evening,False
6,297,remember,False
6,8,to,False
6,309,leave,False
6,39,a,False
6,317,tip,False
6,97,in,False
