,docID,position,term,label
1,101,5,place,False
3,101,14,always,False
4,101,21,solid,False
7,101,35,customer,False
8,101,44,service,False
9,101,52,always,False
11,101,64,nice,False
15,101,82,best,False
16,101,87,japanese,False
17,101,96,korean,False
18,101,103,food,False
23,101,126,consistently,False
24,101,139,good,False
27,101,153,lacks,False
29,101,162,finesse,False
31,101,173,makes,False
35,101,189,portion,False
36,101,197,size,False
38,101,207,portions,False
40,101,220,huge,False
43,101,234,goto,False
44,101,239,sushi,True
45,101,245,place,False
47,101,257,days,False
48,102,0,sometimes,False
50,102,13,feels,False
52,102,22,good,False
56,102,36,bad,False
62,102,63,dying,False
64,102,72,try,False
67,102,83,actual,False
68,102,90,poutinerie,True
71,102,107,long,False
72,102,4,time,False
77,102,132,disappoint,False
78,102,144,ive,False
80,102,153,twice,False
81,102,159,now,False
86,102,179,basic,False
87,102,90,poutine,True
93,102,212,pulled,False
94,102,219,pork,False
95,102,185,poutine,True
98,102,242,good,False
101,102,253,really,False
102,102,260,love,False
104,102,270,pulled,False
105,102,277,pork,False
106,102,224,poutine,True
108,102,295,bbq,False
109,102,299,sauce,True
113,102,319,just,False
115,102,326,touch,False
117,102,335,sweetness,False
120,102,352,really,False
121,102,359,compliments,False
123,102,375,fries,True
125,102,385,cheese,False
126,102,392,curds,False
128,102,401,large,False
129,102,282,poutine,True
133,102,428,enough,False
135,102,439,two,False
136,102,443,people,False
139,102,456,liked,False
141,102,466,little,False
142,102,473,restaurant,False
143,102,484,space,False
146,102,0,s,False
147,102,501,glam,False
148,102,506,rock,False
149,102,511,playing,False
151,102,523,quirky,False
152,102,530,pictures,False
155,102,546,walls,False
157,102,555,guess,False
160,102,569,criticism,False
164,102,592,need,False
166,102,602,seating,False
168,102,4,times,False
169,102,622,ive,False
172,102,634,got,False
173,102,638,lucky,False
175,102,648,managed,False
177,102,659,snag,False
178,102,664,seats,False
180,102,673,someone,False
182,102,685,leaving,False
185,102,701,gross,False
189,102,718,street,False
192,102,734,summer,False
193,102,741,anyway,False
197,102,760,hot,False
198,102,764,outside,False
200,102,778,dont,False
202,102,788,space,False
205,102,803,seats,False
208,102,817,isnt,False
209,102,822,really,False
210,102,829,something,False
212,102,844,can,False
213,102,848,easily,False
214,102,855,fix,False
216,102,863,maybe,False
217,102,869,something,False
219,102,882,keep,False
221,102,890,mind,False
223,102,899,future,False
224,102,906,establishments,False
225,102,921,anyway,False
228,102,935,want,False
231,102,947,unhealthy,False
232,102,957,treat,False
235,102,22,go,False
238,104,7,eaten,False
240,104,16,several,False
243,104,33,chains,False
244,104,40,every,False
245,104,46,time,False
246,104,51,thinking,False
248,104,65,perhaps,False
250,104,78,chance,False
251,104,85,will,False
254,104,95,bit,False
255,104,99,better,False
257,104,110,honestly,False
259,104,124,food,False
262,104,135,underwhelming,False
264,104,151,just,False
265,104,156,give,False
269,104,172,point,False
271,104,183,meat,True
273,104,191,bland,False
275,104,201,often,False
276,104,207,dry,False
278,104,215,overcooked,False
279,104,226,served,False
281,104,238,rice,True
284,104,249,salad,True
285,104,255,generic,False
286,104,263,lettuce,True
288,104,276,ranch,True
289,104,282,dressingtype,False
290,104,295,stuff,False
293,104,311,naan,True
294,104,316,tastes,False
295,104,323,like,False
296,104,328,cardboard,False
298,104,343,rest,False
301,104,355,stuff,False
303,104,364,edible,False
306,104,379,naan,True
308,104,387,just,False
309,104,392,plain,False
310,104,398,atrocious,False
314,104,420,afghani,False
315,104,428,food,False
318,104,442,locations,False
321,104,460,flavourful,False
323,104,475,delicious,False
327,104,500,hold,False
330,104,511,guess,False
332,104,521,take,False
334,104,530,quality,False
337,104,543,sort,False
339,104,551,mcdonalds,False
340,104,561,version,False
342,104,420,afghan,False
343,104,579,food,False
345,104,588,id,False
346,104,591,take,False
348,104,598,big,False
349,104,602,mac,False
351,104,610,day,False
354,104,624,stuff,False
355,104,631,bleh,False
356,107,0,ok,False
358,107,6,sort,False
361,107,18,perfect,False
362,107,26,description,False
365,107,46,place,False
367,107,57,fine,False
370,107,72,greatwe,False
371,107,80,went,False
375,107,95,saturday,False
376,107,104,night,False
378,107,115,literally,False
380,107,127,block,False
381,107,133,away,False
385,107,152,live,False
